elapsed_s,timestamp_utc,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_draw_w,utilization_pct,cumulative_matmuls,interval_throughput_matmuls_per_s
5.082,2026-09-18T22:35:34.462245+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2400.0,10251.0,74.0,448.04,100.0,1727,339.8452535476421
10.038,2026-09-18T22:35:39.418145+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.6,100.0,2413,138.42082676699047
15.045,2026-09-18T22:35:44.425971+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.61,100.0,3106,138.38341958058007
20.046,2026-09-18T22:35:49.426387+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.7,100.0,3798,138.38848495930415
25.041,2026-09-18T22:35:54.421930+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.74,100.0,4489,138.32332771213348
30.041,2026-09-18T22:35:59.421919+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.82,100.0,5181,138.4002903753651
35.035,2026-09-18T22:36:04.415807+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.78,100.0,5872,138.36913856826772
40.034,2026-09-18T22:36:09.414079+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.87,100.0,6563,138.24779981596305
45.046,2026-09-18T22:36:14.426830+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.83,100.0,7257,138.44691004829724
50.046,2026-09-18T22:36:19.426096+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.86,100.0,7948,138.22029984109452
55.034,2026-09-18T22:36:24.414769+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.91,100.0,8639,138.5137766832777
60.034,2026-09-18T22:36:29.414585+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2355.0,10251.0,75.0,450.18,100.0,9329,138.0050933810366
65.034,2026-09-18T22:36:34.414917+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2355.0,10251.0,75.0,449.81,100.0,10020,138.1907879485344
70.042,2026-09-18T22:36:39.422603+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.05,100.0,10713,138.38728703510395
75.035,2026-09-18T22:36:44.416013+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.04,100.0,11402,137.98189656794153
80.043,2026-09-18T22:36:49.423499+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.19,100.0,12093,137.99338025410847
85.055,2026-09-18T22:36:54.435455+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.04,100.0,12785,138.06982832477152
90.042,2026-09-18T22:36:59.422210+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.17,100.0,13472,137.7649554187414
95.041,2026-09-18T22:37:04.421315+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,450.24,100.0,14162,138.02470706702852
100.044,2026-09-18T22:37:09.424144+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,450.04,100.0,14852,137.92192225165502
105.035,2026-09-18T22:37:14.415871+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,450.4,100.0,15541,138.0283983936814
110.04,2026-09-18T22:37:19.420592+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,450.15,100.0,16231,137.86981877558736
115.045,2026-09-18T22:37:24.425939+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,449.96,100.0,16921,137.85262604351541
120.044,2026-09-18T22:37:29.424925+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2355.0,10251.0,76.0,449.88,100.0,17610,137.8279316286765
125.036,2026-09-18T22:37:34.416364+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2355.0,10251.0,76.0,450.12,100.0,18298,137.8359867622709
130.041,2026-09-18T22:37:39.422002+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,449.9,100.0,18989,138.04435097107591
135.04,2026-09-18T22:37:44.420201+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,450.1,100.0,19678,137.84966040536702
140.039,2026-09-18T22:37:49.419381+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,76.0,450.02,100.0,20368,138.02262037974572
145.036,2026-09-18T22:37:54.416643+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2355.0,10251.0,75.0,450.07,100.0,21057,137.87550059551424
150.038,2026-09-18T22:37:59.418732+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2355.0,10251.0,75.0,450.14,100.0,21747,137.94236045338377
155.04,2026-09-18T22:38:04.420300+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2355.0,10251.0,75.0,449.95,100.0,22437,137.95676746960592
160.042,2026-09-18T22:38:09.422200+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.07,100.0,23128,138.14747877844331
165.039,2026-09-18T22:38:14.419252+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.03,100.0,23818,138.08142724088134
170.037,2026-09-18T22:38:19.417945+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.8,100.0,24508,138.03606975852378
175.047,2026-09-18T22:38:24.427340+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.95,100.0,25200,138.14045046950102
180.043,2026-09-18T22:38:29.423338+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.02,100.0,25890,138.1105396942505
185.034,2026-09-18T22:38:34.414892+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.89,100.0,26579,138.03316501955115
190.036,2026-09-18T22:38:39.416444+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.32,100.0,27269,137.95716204456167
195.034,2026-09-18T22:38:44.414971+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.09,100.0,27959,138.04067856757868
200.035,2026-09-18T22:38:49.415520+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.06,100.0,28649,137.9848602693806
205.034,2026-09-18T22:38:54.414030+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.0,100.0,29339,138.04111971258376
210.039,2026-09-18T22:38:59.419282+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.76,100.0,30030,138.05499680449427
215.041,2026-09-18T22:39:04.421985+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2340.0,10251.0,75.0,449.77,100.0,30721,138.12533737066107
220.033,2026-09-18T22:39:09.413772+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.86,100.0,31409,137.82636849577275
225.041,2026-09-18T22:39:14.421924+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.79,100.0,32098,137.57572256074397
230.038,2026-09-18T22:39:19.418544+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.48,100.0,32784,137.2927919403535
235.04,2026-09-18T22:39:24.420586+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.0,100.0,33470,137.14402810399332
240.049,2026-09-18T22:39:29.429646+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,450.2,100.0,34159,137.5507016839835
245.043,2026-09-18T22:39:34.423347+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.88,100.0,34841,136.5720735501965
250.038,2026-09-18T22:39:39.418210+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.68,100.0,35523,136.54031967972458
255.042,2026-09-18T22:39:44.422945+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.98,100.0,36206,136.47072987323133
260.034,2026-09-18T22:39:49.414838+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.74,100.0,36887,136.42119838857676
265.034,2026-09-18T22:39:54.414760+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.78,100.0,37570,136.60211695137068
270.041,2026-09-18T22:39:59.421842+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.63,100.0,38254,136.6065044300987
275.04,2026-09-18T22:40:04.420660+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.84,100.0,38937,136.6323020436064
280.039,2026-09-18T22:40:09.419346+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.63,100.0,39619,136.4358663049192
285.041,2026-09-18T22:40:14.422012+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.96,100.0,40303,136.72711023843453
290.043,2026-09-18T22:40:19.423747+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.99,100.0,40986,136.5526235156679
295.042,2026-09-18T22:40:24.422481+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.77,100.0,41669,136.6345764015657
300.043,2026-09-18T22:40:29.423079+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,74.0,449.61,100.0,42353,136.78362237568925
305.041,2026-09-18T22:40:34.421443+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,75.0,449.58,100.0,43035,136.44463895167576
310.042,2026-09-18T22:40:39.422585+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.89,100.0,43718,136.56883304429292
315.032,2026-09-18T22:40:44.412807+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.3,100.0,44400,136.6672606003036
320.039,2026-09-18T22:40:49.419675+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2400.0,10251.0,75.0,449.61,100.0,45083,136.41263972879656
325.072,2026-09-18T22:40:54.452917+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.64,100.0,45770,136.49253039264127
330.04,2026-09-18T22:40:59.420904+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2370.0,10251.0,74.0,449.87,100.0,46449,136.67509385237827
335.04,2026-09-18T22:41:04.420476+00:00,GPU-00b80185-a51c-ac5b-84b1-c291bcf5025f,2385.0,10251.0,75.0,449.97,100.0,47132,136.61166033134427
