word,neighbor,similarity
cast,casting,0.6609737277030945
cast,actors,0.6379711627960205
cast,performances,0.627095639705658
score,soundtrack,0.6944578289985657
score,cinematography,0.6469697952270508
score,music,0.6255449652671814
plot,storyline,0.7120911478996277
plot,story,0.6919959187507629
plot,script,0.6226955056190491
screen,screens,0.5804503560066223
screen,stage,0.48603081703186035
screen,lebowski,0.43957293033599854
review,comment,0.658782958984375
review,reviews,0.6375787258148193
review,recommendation,0.5854040384292603
