word,neighbor_before,sim_before,neighbor_after,sim_after
cast,casts,0.72188800573349,casting,0.6609737277030945
cast,casting,0.7188456058502197,actors,0.6379711627960205
cast,Cast,0.6638122200965881,performances,0.627095639705658
score,scoring,0.71968013048172,soundtrack,0.6944578289985657
score,scores,0.659572422504425,cinematography,0.6469697952270508
score,scored,0.6384159326553345,music,0.6255449652671814
plot,plots,0.7624845504760742,storyline,0.7120911478996277
plot,Plot,0.6524182558059692,story,0.6919959187507629
plot,plotting,0.6327632069587708,script,0.6226955056190491
screen,screens,0.7728806734085083,screens,0.5804503560066223
screen,onscreen,0.6115447282791138,stage,0.48603081703186035
screen,LCD_screen,0.5599321126937866,lebowski,0.43957293033599854
review,reviewed,0.6630409359931946,comment,0.658782958984375
review,reviewing,0.6609557271003723,reviews,0.6375787258148193
review,reviews,0.6379557251930237,recommendation,0.5854040384292603
